name,type,id,uri,part_of_name,part_of_type,part_of_id
Aden,city,85243,https://ismi.mpiwg-berlin.mpg.de/place/85243,null,null,null
Adrianopel,city,85589,https://ismi.mpiwg-berlin.mpg.de/place/85589,null,null,null
Afghanistan,country,179798,https://ismi.mpiwg-berlin.mpg.de/place/179798,null,null,null
"Afshana, near Bukhārā (Uzbekistan)",city,85213,https://ismi.mpiwg-berlin.mpg.de/place/85213,null,null,null
Afyon,city,87434,https://ismi.mpiwg-berlin.mpg.de/place/87434,Turkey,country,174510
"Agarfa, Bale",city,330886,https://ismi.mpiwg-berlin.mpg.de/place/330886,Ethiopia,country,330883
Adana,city,88263,https://ismi.mpiwg-berlin.mpg.de/place/88263,Turkey,country,174510
Ahmadabad,city,87895,https://ismi.mpiwg-berlin.mpg.de/place/87895,India,country,174638
Aḥmadiyya,madrasa,24358,https://ismi.mpiwg-berlin.mpg.de/place/24358,Aleppo,city,85486
Ahmedabad,null,529683,https://ismi.mpiwg-berlin.mpg.de/place/529683,India,country,174638
Ahwaz,null,361847,https://ismi.mpiwg-berlin.mpg.de/place/361847,null,null,null
Akbarabad,city,87782,https://ismi.mpiwg-berlin.mpg.de/place/87782,Iran,country,174469
Akşehir,city,86833,https://ismi.mpiwg-berlin.mpg.de/place/86833,null,null,null
al-Madrasaẗ al-Šāmiyyaẗ,madrasa,123652,https://ismi.mpiwg-berlin.mpg.de/place/123652,Damascus,city,85658
al-Jazīratān,city_district,22121,https://ismi.mpiwg-berlin.mpg.de/place/22121,null,null,null
Aleppo,city,85486,https://ismi.mpiwg-berlin.mpg.de/place/85486,Syria,country,174694
Alexandria,city,87102,https://ismi.mpiwg-berlin.mpg.de/place/87102,Egypt,country,173189
Algeria,country,173275,https://ismi.mpiwg-berlin.mpg.de/place/173275,null,null,null
Algiers,city,87820,https://ismi.mpiwg-berlin.mpg.de/place/87820,Algeria,country,173275
Aligarh,city,86794,https://ismi.mpiwg-berlin.mpg.de/place/86794,India,country,174638
Almeria,city,490235,https://ismi.mpiwg-berlin.mpg.de/place/490235,Spain,country,174730
Amasya,city,525362,https://ismi.mpiwg-berlin.mpg.de/place/525362,Turkey,country,174510
Amsterdam,city,86472,https://ismi.mpiwg-berlin.mpg.de/place/86472,Netherlands,country,174707
Amul,city,390537,https://ismi.mpiwg-berlin.mpg.de/place/390537,Turkmenistan,country,178885
